crypto,price_open,price_close,volume
BTC,6036.66015625,6008.419921875,2034630016
BTC,6006.0,5930.31982421875,2401840128
BTC,5935.52001953125,5526.64013671875,2735699968
BTC,5524.60009765625,5750.7998046875,1966989952
BTC,5747.9501953125,5904.830078125,1905040000
BTC,5899.740234375,5780.89990234375,1710130048
BTC,5787.81982421875,5753.08984375,1403920000
BTC,5754.43994140625,6153.85009765625,2859040000
BTC,6114.85009765625,6130.52978515625,1772150016
BTC,6132.02001953125,6468.39990234375,2311379968
BTC,6440.97021484375,6767.31005859375,2870320128
BTC,6777.77001953125,7078.5,4653770240
BTC,7087.52978515625,7207.759765625,3369860096
BTC,7164.47998046875,7379.9501953125,2483800064
BTC,7404.52001953125,7407.41015625,2380410112
BTC,7403.22021484375,7022.759765625,3111899904
BTC,7023.10009765625,7144.3798828125,2326340096
BTC,7141.3798828125,7459.68994140625,4602200064
BTC,7446.830078125,7143.580078125,3226249984
BTC,7173.72998046875,6618.14013671875,5208249856
BTC,6618.60986328125,6357.60009765625,4908680192
BTC,6295.4501953125,5950.06982421875,8957349888
BTC,5938.25,6559.490234375,6263249920
BTC,6561.47998046875,6635.75,3197110016
BTC,6634.759765625,7315.5400390625,4200880128
BTC,7323.240234375,7871.68994140625,5123809792
BTC,7853.56982421875,7708.990234375,4651670016
BTC,7697.2099609375,7790.14990234375,3667190016
BTC,7766.02978515625,8036.490234375,3149319936
BTC,8039.06982421875,8200.6396484375,3488450048
BTC,8205.740234375,8071.259765625,4277609984
BTC,8077.9501953125,8253.5498046875,3633530112
BTC,8232.3798828125,8038.77001953125,4225179904
BTC,8074.02001953125,8253.6904296875,5058610176
BTC,8241.7099609375,8790.919921875,4342060032
BTC,8789.0400390625,9330.5498046875,5475579904
BTC,9352.7197265625,9818.349609375,5653320192
BTC,9823.4296875,10058.7998046875,6348819968
BTC,10077.400390625,9888.6103515625,11568799744
